Suburb,Address,PropertyType,Bedrooms,Bathrooms,CarSpaces,LandSize_m2,SaleDate,SoldPrice_AUD,SourceURL
Dandenong,"82 Ann Street, Dandenong, Vic 3175",House,5,1,2,697,2025-07-03,"$1,075,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-147906032
Dandenong,"11-13 Jesson Crescent, Dandenong, Vic 3175",House,5,2,2,893,2025-06-30,"$1,000,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-147636916
Dandenong,"37 Keshava Grove, Dandenong, Vic 3175",House,3,2,1,350,2025-06-26,"$755,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-147674776
Dandenong,"7 William Avenue, Dandenong, Vic 3175",House,5,3,4,860,2025-06-25,"$1,700,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-147545780
Dandenong,"18 Oswald Street, Dandenong, Vic 3175",House,2,1,1,584,2025-06-25,"$695,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-148150480
Dandenong,"40 Railway Parade, Dandenong, Vic 3175",House,4,2,6,421,2025-06-21,"$812,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-148121264
Dandenong,"20 Keating Crescent, Dandenong, Vic 3175",House,3,1,6,530,2025-08-07,"$811,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-148467980
Dandenong,"36 Lexton Avenue, Dandenong, Vic 3175",House,4,1,2,806,2025-08-07,"$680,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-147291860
Dandenong,"17 Wanke Crescent, Dandenong, Vic 3175",House,3,1,4,654,2025-07-31,"$715,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-147573268
Dandenong,"82 Princes Highway, Dandenong, Vic 3175",House,3,1,1,738,2025-07-29,"$850,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-148293652
Dandenong,"7 Lockington Crescent, Dandenong, Vic 3175",House,4,2,2,381,2025-07-25,"$805,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-148472620
Dandenong,"1/103 Ann Street, Dandenong, Vic 3175",Townhouse,4,3,2,272,2025-09-22,"$872,000.00 ",https://www.realestate.com.au/sold/property-townhouse-vic-dandenong-148754576
Dandenong,"1/31 Macpherson Street, Dandenong, Vic 3175",Townhouse,2,1,1,1103,2025-09-19,"$640,000.00 ",https://www.realestate.com.au/sold/property-townhouse-vic-dandenong-149091136
Dandenong,"4/31 Macpherson Street, Dandenong, Vic 3175",Townhouse,2,1,1,1103,2025-09-16,"$590,000.00 ",https://www.realestate.com.au/sold/property-townhouse-vic-dandenong-149055184
Dandenong,"1/55-57 Hammond Road, Dandenong, Vic 3175",Townhouse,3,2,2,216,2025-09-15,"$650,000.00 ",https://www.realestate.com.au/sold/property-townhouse-vic-dandenong-148303624
Dandenong,"25A Hutton Street, Dandenong, Vic 3175",Townhouse,3,2,1,1240,2025-09-12,"$630,000.00 ",https://www.realestate.com.au/sold/property-townhouse-vic-dandenong-149082584
Dandenong,"6/60 Cheltenham Road, Dandenong, Vic 3175",Townhouse,3,3,2,110,2025-09-08,"$635,000.00 ",https://www.realestate.com.au/sold/property-townhouse-vic-dandenong-148844412
Dandenong,"3/6 Janice Grove, Dandenong, Vic 3175",Townhouse,3,2,2,218,2025-09-04,"$760,000.00 ",https://www.realestate.com.au/sold/property-townhouse-vic-dandenong-148269940
Dandenong,"29/57 Clow Street, Dandenong, Vic 3175",Townhouse,3,1,1,67,2025-09-04,"$320,000.00 ",https://www.realestate.com.au/sold/property-townhouse-vic-dandenong-147973920
Dandenong,"1/120 McCrae Street, Dandenong, Vic 3175",Townhouse,3,2,2,192,2025-09-01,"$660,000.00 ",https://www.realestate.com.au/sold/property-townhouse-vic-dandenong-147027916
Dandenong,"6/16 Macpherson Street, Dandenong, Vic 3175",Townhouse,4,2,2,156,2025-09-01,"$630,000.00 ",https://www.realestate.com.au/sold/property-townhouse-vic-dandenong-148696636
Dandenong,"5/40 Power Street, Dandenong, Vic 3175",Townhouse,2,3,1,1260,2025-08-31,"$565,000.00 ",https://www.realestate.com.au/sold/property-townhouse-vic-dandenong-148736616
Dandenong,"138 Keneally Street, Dandenong, Vic 3175",Townhouse,3,3,2,98,2025-08-29,"$673,000.00 ",https://www.realestate.com.au/sold/property-townhouse-vic-dandenong-148797112
Dandenong,"1/29 Pickett Street, Dandenong, Vic 3175",Townhouse,2,2,1,508,2025-08-28,"$580,000.00 ",https://www.realestate.com.au/sold/property-townhouse-vic-dandenong-145546152
Dandenong,"4/19 - 27 Connell Lane, Dandenong, Vic 3175",Townhouse,2,1,1,704,2025-08-25,"$390,000.00 ",https://www.realestate.com.au/sold/property-townhouse-vic-dandenong-148446540
Dandenong,"1/49 James Street, Dandenong, Vic 3175",Townhouse,4,3,2,736,2025-08-19,"$700,000.00 ",https://www.realestate.com.au/sold/property-townhouse-vic-dandenong-148117308
Dandenong,"17 Everitt Street, Dandenong, Vic 3175",Townhouse,4,2,2,262,2025-08-18,"$705,000.00 ",https://www.realestate.com.au/sold/property-townhouse-vic-dandenong-148746552
Seaford,"1A Riversdale Avenue, Seaford, Vic 3198",Townhouse,3,2,2,613,2025-09-06,"$710,000.00 ",https://www.realestate.com.au/sold/property-townhouse-vic-seaford-148737832
Seaford,"3/68 Nepean Highway, Seaford, Vic 3198",Townhouse,4,4,2,1818,2025-09-05,"$1,170,000.00 ",https://www.realestate.com.au/sold/property-townhouse-vic-seaford-148417764
Seaford,"3/374 Frankston-Dandenong Road, Seaford, Vic 3198",Townhouse,3,2,2,722,2025-08-23,"$660,000.00 ",https://www.realestate.com.au/sold/property-townhouse-vic-seaford-148640572
